Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021
Fragile and conflict affected situations,FCS,Population. total,SP.POP.TOTL,,,,
France,FRA,Population. total,SP.POP.TOTL,83.0,70.1,69.95,81.7
French Polynesia,PYF,Population. total,SP.POP.TOTL,,,,
Gabon,GAB,Population. total,SP.POP.TOTL,81.2,81.5,81.13,62.8
Gambia. The,GMB,Population. total,SP.POP.TOTL,62.8,63.8,65.37,59.3
Georgia,GEO,Population. total,SP.POP.TOTL,51.6,55.0,57.86,72.2
Germany,DEU,Population. total,SP.POP.TOTL,70.4,70.1,75.21,82.5
Ghana,GHA,Population. total,SP.POP.TOTL,70.7,68.9,71.88,62.5
Gibraltar,GIB,Population. total,SP.POP.TOTL,,,,
Greece,GRC,Population. total,SP.POP.TOTL,58.2,59.6,61.54,75.4
Greenland,GRL,Population. total,SP.POP.TOTL,,,,
Grenada,GRD,Population. total,SP.POP.TOTL,52.1,52.8,52.47,
Guam,GUM,Population. total,SP.POP.TOTL,,,,
Guatemala,GTM,Population. total,SP.POP.TOTL,,,,59.9
Guinea,GIN,Population. total,SP.POP.TOTL,82.3,81.1,80.77,51.0
Guinea-Bissau,GNB,Population. total,SP.POP.TOTL,70.6,71.4,74.33,
Guyana,GUY,Population. total,SP.POP.TOTL,61.9,61.4,59.74,57.9
Haiti,HTI,Population. total,SP.POP.TOTL,75.0,76.9,77.34,51.4
Heavily indebted poor countries (HIPC),HPC,Population. total,SP.POP.TOTL,,,,
High income,HIC,Population. total,SP.POP.TOTL,,,,
Honduras,HND,Population. total,SP.POP.TOTL,49.2,48.4,51.69,62.8
Hong Kong SAR. China,HKG,Population. total,SP.POP.TOTL,,,,
Hungary,HUN,Population. total,SP.POP.TOTL,79.7,79.2,77.52,78.8
IBRD only,IBD,Population. total,SP.POP.TOTL,,,,
Iceland,ISL,Population. total,SP.POP.TOTL,71.8,71.5,74.60,78.2
IDA & IBRD total,IBT,Population. total,SP.POP.TOTL,,,,
IDA blend,IDB,Population. total,SP.POP.TOTL,,,,
