field_1,field_2,field_3,field_4,field_5
SSD,"38,9","43,66",,"75,4"
ESP,"79,5",,,
LKA,"68,1","74,31","74,8","76,1"
KNA,,"73,01","71,6","70,3"
LCA,,,,
VCT,,"76,43","74,5","73,0"
SDN,"49,5","75,23","72,5",
SUR,"67,0","66,88","65,8",
SWE,"85,6",,,"49,6"
CHE,"80,1","56,54","56,0","55,8"
SYR,"58,0","84,72","85,0","85,0"
TJK,"69,8","56,64","55,8","55,1"
TZA,"56,4","63,03","64,3","59,5"
THA,"74,2","69,43","69,2","67,2"
TLS,,,,
TGO,"53,2","59,33","58,1","55,0"
TON,,"52,70","51,6","52,0"
TTO,"63,5",,,
TUN,"71,4","65,76","67,6","67,5"
TUR,"70,4","71,37","70,0","66,2"
TKM,"61,1","74,54","73,0","69,2"
TUV,,"70,30","68,5","66,0"
UGA,"53,5",,,
UKR,"75,5","53,49","52,6","54,9"
ARE,"70,2","52,59","51,3","49,6"
GBR,"80,0","63,40","64,8","62,8"
USA,"76,0","70,30","69,7","69,2"
URY,"74,5","74,24","72,8","72,3"
UZB,"69,8","79,79","79,4","78,7"
VUT,"60,5","60,89","59,9",
VEN,"59,3","74,28","72,6","70,4"
VNM,"72,8","71,02","71,1","70,3"
YEM,"52,9","73,80","71,1","69,7"
ZMB,"53,4","52,67","52,6","53,1"
ZWE,"58,7","59,51","59,7","58,8"
