Country,countryCode,Natural Capital,Resource Intensity,Social capital,Intellectual capital,Governance 
Mongolia,MNG,39.2,25.7,48.9,37.6,56.4
Montenegro,MNE,50.0,40.7,49.1,41.9,52.1
Morocco,MAR,40.7,48.8,34.0,39.8,52.3
Mozambique,MOZ,48.9,41.3,37.4,19.4,36.9
Namibia,NAM,47.4,50.7,36.2,39.5,42.0
Nepal,NPL,35.8,47.9,46.7,38.7,58.6
Netherlands,NLD,41.4,50.1,57.9,60.3,59.7
New Zealand,NZL,60.2,47.2,56.0,46.9,64.4
Nicaragua,NIC,45.1,50.9,42.2,32.4,43.4
Niger,NER,43.9,54.7,44.0,19.2,41.5
Nigeria,NGA,39.4,48.8,36.7,22.7,50.4
North Macedonia,MKD,48.4,38.1,50.1,42.8,57.2
Norway,NOR,62.5,48.9,63.5,64.4,59.9
Oman,OMN,43.9,21.8,48.4,46.2,50.0
Pakistan,PAK,28.2,42.0,37.7,27.0,48.4
Panama,PAN,56.2,55.0,44.0,33.6,54.8
Papua New Guinea,PNG,60.1,54.6,38.2,17.2,36.1
Paraguay,PRY,68.1,48.7,42.2,33.4,55.4
Peru,PER,62.4,49.9,46.2,40.1,52.9
Philippines,PHL,33.9,47.1,41.8,32.5,54.5
Poland,POL,46.2,38.2,53.7,55.5,62.3
Portugal,PRT,49.5,48.6,59.4,55.5,60.9
Qatar,QAT,32.9,24.6,52.3,37.3,49.7
Republic of Congo,COG,57.0,46.0,33.0,30.6,33.4
Romania,ROU,54.7,54.0,53.5,38.7,60.9
Russia,RUS,58.1,27.6,43.7,59.7,57.1
Rwanda,RWA,32.9,60.1,38.6,25.7,44.2
Samoa,WSM,53.7,54.2,36.7,38.8,50.2
Sao Tome and Principe,STP,39.5,51.6,43.4,35.9,41.5
Saudi Arabia,SAU,36.9,25.9,50.0,44.0,54.6
Senegal,SEN,36.3,46.5,43.5,32.2,54.9
Serbia,SRB,58.2,31.3,53.4,45.2,60.5
Seychelles,SYC,28.6,30.2,48.8,43.9,57.0
Sierra Leone,SLE,49.6,54.5,39.9,32.7,41.4
Singapore,SGP,29.1,33.8,58.2,69.3,56.2
Slovakia,SVK,51.0,44.9,56.0,52.8,60.7
Slovenia,SVN,48.1,41.7,60.5,57.5,63.7
Solomon Islands,SLB,52.8,59.4,41.9,35.8,46.9
Somalia,SOM,22.6,57.2,32.1,19.9,31.5
South Africa,ZAF,48.6,33.2,31.1,43.3,40.4
South Korea,KOR,37.0,34.1,59.6,77.8,60.8
South Sudan,SSD,39.5,52.9,35.3,15.8,31.4
Spain,ESP,49.0,49.8,56.0,45.3,63.7
Sri Lanka,LKA,41.0,50.8,49.0,39.8,60.0
St. Kitts and Nevis,KNA,34.2,36.9,40.8,34.7,59.0
Sudan,SDN,43.2,42.9,32.2,26.0,37.0
Suriname,SUR,62.4,38.5,41.5,39.0,45.3
Sweden,SWE,60.2,58.0,62.4,67.9,57.6
Switzerland,CHE,55.4,61.8,59.8,62.7,62.2
Syria,SYR,33.0,41.5,34.3,31.0,37.3
Tajikistan,TJK,42.4,36.2,47.7,39.1,50.2
Tanzania,TZA,51.8,52.4,36.1,20.3,47.9
Thailand,THA,40.0,39.8,45.6,50.6,49.2
Timor-Leste,TLS,39.5,51.2,54.1,40.0,50.4
Togo,TGO,36.2,53.2,35.7,30.0,45.0
Tonga,TON,41.4,53.9,44.3,39.9,50.2
Trinidad and Tobago,TTO,38.6,26.5,42.6,34.8,50.4
Tunisia,TUN,28.6,36.0,43.8,48.8,49.6
Turkey,TUR,41.0,38.7,43.2,47.3,59.1
Turkmenistan,TKM,33.0,29.8,39.2,43.3,53.0
Uganda,UGA,38.5,56.2,37.2,12.7,43.3
Ukraine,UKR,45.8,44.9,43.9,49.2,52.7
United Arab Emirates,ARE,33.3,27.2,55.8,43.8,59.2
United Kingdom,GBR,38.6,61.0,51.2,66.6,55.7
Uruguay,URY,60.6,61.1,44.6,35.7,54.3
USA,USA,54.9,44.8,42.5,65.0,53.0
Uzbekistan,UZB,33.6,33.7,50.5,44.3,63.8
Vanuatu,VUT,40.9,54.9,36.4,35.1,48.7
Venezuela,VEN,67.1,48.1,36.2,49.9,36.8
Vietnam,VNM,40.4,28.3,44.9,44.6,52.6
West Bank and Gaza,,22.4,43.2,37.4,40.0,44.9
Yemen,YEM,31.2,61.3,30.4,28.4,29.9
Zambia,ZMB,48.8,42.9,34.5,22.2,45.0
Zimbabwe,ZWE,36.1,52.1,33.5,32.2,39.1
