id,country_code,country_name,year,rating
715,TKM,Turkmenistan,2019,73
716,TKM,Turkmenistan,2018,69.2
717,TUV,Tuvalu,2021,0
718,TUV,Tuvalu,2020,70.30322352
719,TUV,Tuvalu,2019,68.5
720,TUV,Tuvalu,2018,66
721,UGA,Uganda,2021,53.45784657
722,UGA,Uganda,2020,0
723,UGA,Uganda,2019,0
724,UGA,Uganda,2018,0
725,UKR,Ukraine,2021,75.51048732
726,UKR,Ukraine,2020,53.4869796
727,UKR,Ukraine,2019,52.6
728,UKR,Ukraine,2018,54.9
729,ARE,United Arab Emirates,2021,70.16993165
730,ARE,United Arab Emirates,2020,52.58927717
731,ARE,United Arab Emirates,2019,51.3
732,ARE,United Arab Emirates,2018,49.6
733,GBR,United Kingdom,2021,79.97291029
734,GBR,United Kingdom,2020,63.40206131
735,GBR,United Kingdom,2019,64.8
736,GBR,United Kingdom,2018,62.8
737,USA,United States,2021,76.00966232
738,USA,United States,2020,70.29539873
739,USA,United States,2019,69.7
740,USA,United States,2018,69.2
741,URY,Uruguay,2021,74.54638352
742,URY,Uruguay,2020,74.24486083
743,URY,Uruguay,2019,72.8
744,URY,Uruguay,2018,72.3
745,UZB,Uzbekistan,2021,69.83578983
746,UZB,Uzbekistan,2020,79.78909703
747,UZB,Uzbekistan,2019,79.4
748,UZB,Uzbekistan,2018,78.7
749,VUT,Vanuatu,2021,60.52355812
750,VUT,Vanuatu,2020,60.88544524
751,VUT,Vanuatu,2019,59.9
752,VUT,Vanuatu,2018,0
753,VEN,Venezuela. RB,2021,59.32428553
754,VEN,Venezuela. RB,2020,74.27768866
755,VEN,Venezuela. RB,2019,72.6
756,VEN,Venezuela. RB,2018,70.4
757,VNM,Vietnam,2021,72.84849825
758,VNM,Vietnam,2020,71.01814684
759,VNM,Vietnam,2019,71.1
760,VNM,Vietnam,2018,70.3
761,YEM,Yemen. Rep.,2021,52.86329076
762,YEM,Yemen. Rep.,2020,73.80190079
763,YEM,Yemen. Rep.,2019,71.1
764,YEM,Yemen. Rep.,2018,69.7
765,ZMB,Zambia,2021,53.391375
766,ZMB,Zambia,2020,52.67168712
767,ZMB,Zambia,2019,52.6
768,ZMB,Zambia,2018,53.1
769,ZWE,Zimbabwe,2021,58.66360208
770,ZWE,Zimbabwe,2020,59.50782948
771,ZWE,Zimbabwe,2019,59.7
772,ZWE,Zimbabwe,2018,58.8
