id,country_code,country_name,year,rating
163,CRI,Costa Rica,2019,75
164,CRI,Costa Rica,2018,73.2
165,CIV,Cote d'Ivoire,2021,57.56247654
166,CIV,Cote d'Ivoire,2020,43.75071453
167,CIV,Cote d'Ivoire,2019,42.8
168,CIV,Cote d'Ivoire,2018,42.8
169,HRV,Croatia,2021,80.37550147
170,HRV,Croatia,2020,64.44480574
171,HRV,Croatia,2019,63.4
172,HRV,Croatia,2018,63.6
173,CUB,Cuba,2021,73.65433835
174,CUB,Cuba,2020,57.90914244
175,CUB,Cuba,2019,55.7
176,CUB,Cuba,2018,55.2
177,CYP,Cyprus,2021,74.86543062
178,CYP,Cyprus,2020,78.40059419
179,CYP,Cyprus,2019,77.8
180,CYP,Cyprus,2018,76.5
181,CZE,Czech Republic,2021,81.38791486
182,CZE,Czech Republic,2020,72.58152219
183,CZE,Czech Republic,2019,70.8
184,CZE,Czech Republic,2018,71.3
185,DNK,Denmark,2021,84.8605221
186,DNK,Denmark,2020,54.56479738
187,DNK,Denmark,2019,51.4
188,DNK,Denmark,2018,50.6
189,DJI,Djibouti,2021,53.76445481
190,DJI,Djibouti,2020,80.57667645
191,DJI,Djibouti,2019,80.7
192,DJI,Djibouti,2018,78.7
193,DMA,Dominica,2021,0
194,DMA,Dominica,2020,84.55877579
195,DMA,Dominica,2019,85.2
196,DMA,Dominica,2018,84.6
197,DOM,Dominican Republic,2021,70.76020203
198,DOM,Dominican Republic,2020,0
199,DOM,Dominican Republic,2019,0
200,DOM,Dominican Republic,2018,0
201,ECU,Ecuador,2021,72.53935259
202,ECU,Ecuador,2020,74.26065121
203,ECU,Ecuador,2019,72.3
204,ECU,Ecuador,2018,70.8
205,EGY,Egypt. Arab Rep.,2021,68.64710728
206,EGY,Egypt. Arab Rep.,2020,68.78855233
207,EGY,Egypt. Arab Rep.,2019,66.2
208,EGY,Egypt. Arab Rep.,2018,63.5
209,SLV,El Salvador,2021,67.92642038
210,SLV,El Salvador,2020,79.80024886
211,SLV,El Salvador,2019,79.4
212,SLV,El Salvador,2018,0
213,GNQ,Equatorial Guinea,2021,0
214,GNQ,Equatorial Guinea,2020,0
215,GNQ,Equatorial Guinea,2019,0
216,GNQ,Equatorial Guinea,2018,0
217,ERI,Eritrea,2021,0
218,ERI,Eritrea,2020,69.6241965
219,ERI,Eritrea,2019,66.7
220,ERI,Eritrea,2018,64.1
221,EST,Estonia,2021,81.57585204
222,EST,Estonia,2020,0
223,EST,Estonia,2019,0
224,EST,Estonia,2018,0
225,SWZ,Eswatini,2021,53.32832376
226,SWZ,Eswatini,2020,49.56100301
227,SWZ,Eswatini,2019,51.4
228,SWZ,Eswatini,2018,68
229,ETH,Ethiopia,2021,54.52100686
230,ETH,Ethiopia,2020,80.06100023
231,ETH,Ethiopia,2019,80.2
232,ETH,Ethiopia,2018,78.3
233,FJI,Fiji,2021,71.2443135
234,FJI,Fiji,2020,55.23246593
235,FJI,Fiji,2019,53.2
236,FJI,Fiji,2018,0
237,FIN,Finland,2021,85.90116267
238,FIN,Finland,2020,53.40107349
239,FIN,Finland,2019,51.7
240,FIN,Finland,2018,53.2
241,FRA,France,2021,81.6729444
242,FRA,France,2020,69.94692157
243,FRA,France,2019,70.1
244,FRA,France,2018,83
245,GAB,Gabon,2021,62.81515002
246,GAB,Gabon,2020,81.12854124
247,GAB,Gabon,2019,81.5
248,GAB,Gabon,2018,81.2
249,GMB,Gambia. The,2021,59.26394412
250,GMB,Gambia. The,2020,65.37443683
251,GMB,Gambia. The,2019,63.8
252,GMB,Gambia. The,2018,62.8
253,GEO,Georgia,2021,72.23341064
254,GEO,Georgia,2020,57.85825056
255,GEO,Georgia,2019,55
256,GEO,Georgia,2018,51.6
257,DEU,Germany,2021,82.48179502
258,DEU,Germany,2020,75.21420806
259,DEU,Germany,2019,70.1
260,DEU,Germany,2018,70.4
261,GHA,Ghana,2021,62.49432185
262,GHA,Ghana,2020,71.88018627
263,GHA,Ghana,2019,68.9
264,GHA,Ghana,2018,70.7
265,GRC,Greece,2021,75.40707696
266,GRC,Greece,2020,61.54244846
267,GRC,Greece,2019,59.6
268,GRC,Greece,2018,58.2
269,GRD,Grenada,2021,0
270,GRD,Grenada,2020,52.46917792
271,GRD,Grenada,2019,52.8
272,GRD,Grenada,2018,52.1
273,GTM,Guatemala,2021,59.91468852
274,GTM,Guatemala,2020,0
275,GTM,Guatemala,2019,0
276,GTM,Guatemala,2018,0
277,GIN,Guinea,2021,50.9614916
278,GIN,Guinea,2020,80.77438597
279,GIN,Guinea,2019,81.1
280,GIN,Guinea,2018,82.3
281,GNB,Guinea-Bissau,2021,0
282,GNB,Guinea-Bissau,2020,74.32960392
283,GNB,Guinea-Bissau,2019,71.4
284,GNB,Guinea-Bissau,2018,70.6
285,GUY,Guyana,2021,57.89281524
286,GUY,Guyana,2020,59.73539428
287,GUY,Guyana,2019,61.4
288,GUY,Guyana,2018,61.9
289,HTI,Haiti,2021,51.35142339
290,HTI,Haiti,2020,77.3362114
291,HTI,Haiti,2019,76.9
292,HTI,Haiti,2018,75
293,HND,Honduras,2021,62.77279594
294,HND,Honduras,2020,51.69477869
295,HND,Honduras,2019,48.4
296,HND,Honduras,2018,49.2
297,HUN,Hungary,2021,78.77619461
298,HUN,Hungary,2020,77.51680039
299,HUN,Hungary,2019,79.2
300,HUN,Hungary,2018,79.7
301,ISL,Iceland,2021,78.17050423
302,ISL,Iceland,2020,74.5964106
303,ISL,Iceland,2019,71.5
304,ISL,Iceland,2018,71.8
305,IND,India,2021,60.07499921
306,IND,India,2020,65.30426779
307,IND,India,2019,64.2
308,IND,India,2018,62.8
309,IDN,Indonesia,2021,66.34290449
310,IDN,Indonesia,2020,61.91698893
311,IDN,Indonesia,2019,61.1
312,IDN,Indonesia,2018,59.1
313,IRN,Iran. Islamic Rep.,2021,70.0148655
314,IRN,Iran. Islamic Rep.,2020,63.13649824
315,IRN,Iran. Islamic Rep.,2019,60.8
316,IRN,Iran. Islamic Rep.,2018,53.7
317,IRQ,Iraq,2021,63.81501166
318,IRQ,Iraq,2020,79.38103102
319,IRQ,Iraq,2019,78.2
320,IRQ,Iraq,2018,77.5
321,IRL,Ireland,2021,80.96381448
322,IRL,Ireland,2020,71.81309883
323,IRL,Ireland,2019,70.5
324,IRL,Ireland,2018,65.5
325,ISR,Israel,2021,75.03782582
326,ISR,Israel,2020,77.01180028
327,ISR,Israel,2019,75.8
328,ISR,Israel,2018,74.2
329,ITA,Italy,2021,78.75520735
330,ITA,Italy,2020,68.66371867
331,ITA,Italy,2019,68.8
332,ITA,Italy,2018,65.9
333,JAM,Jamaica,2021,68.97146891
334,JAM,Jamaica,2020,79.16612523
335,JAM,Jamaica,2019,78.9
336,JAM,Jamaica,2018,78.5
337,JPN,Japan,2021,79.84862289
338,JPN,Japan,2020,71.05855058
339,JPN,Japan,2019,68.7
340,JPN,Japan,2018,68.1
341,JOR,Jordan,2021,70.13678624
342,JOR,Jordan,2020,68.05371069
343,JOR,Jordan,2019,68.1
344,JOR,Jordan,2018,64.4
345,KAZ,Kazakhstan,2021,71.63931479
346,KAZ,Kazakhstan,2020,60.17106662
347,KAZ,Kazakhstan,2019,57
348,KAZ,Kazakhstan,2018,56.8
349,KEN,Kenya,2021,60.59772042
350,KEN,Kenya,2020,0
351,KEN,Kenya,2019,0
352,KEN,Kenya,2018,0
353,KIR,Kiribati,2021,0
354,KIR,Kiribati,2020,63.14272333
355,KIR,Kiribati,2019,63.5
356,KIR,Kiribati,2018,61.1
357,PRK,Korea. Dem. Rep.,2021,0
358,PRK,Korea. Dem. Rep.,2020,74.78147528
359,PRK,Korea. Dem. Rep.,2019,72.7
360,PRK,Korea. Dem. Rep.,2018,68.9
361,KOR,Korea. Rep.,2021,78.59345294
362,KOR,Korea. Rep.,2020,62.0622551
363,KOR,Korea. Rep.,2019,62
364,KOR,Korea. Rep.,2018,60.6
365,KWT,Kuwait,2021,62.54488317
366,KWT,Kuwait,2020,77.73404655
367,KWT,Kuwait,2019,77.1
368,KWT,Kuwait,2018,74.7
369,KGZ,Kyrgyz Republic,2021,74.00096329
370,KGZ,Kyrgyz Republic,2020,0
371,KGZ,Kyrgyz Republic,2019,0
372,KGZ,Kyrgyz Republic,2018,0
373,LAO,Lao PDR,2021,63.01227528
374,LAO,Lao PDR,2020,66.67658375
375,LAO,Lao PDR,2019,65.7
376,LAO,Lao PDR,2018,64.8
377,LVA,Latvia,2021,79.15212024
378,LVA,Latvia,2020,67.59050688
379,LVA,Latvia,2019,72.1
380,LVA,Latvia,2018,0
381,LBN,Lebanon,2021,66.83783532
382,LBN,Lebanon,2020,53.99763614
383,LBN,Lebanon,2019,50.9
384,LBN,Lebanon,2018,51.5
385,LSO,Lesotho,2021,54.58608151
386,LSO,Lesotho,2020,49.14394309
387,LSO,Lesotho,2019,46.7
388,LSO,Lesotho,2018,45.6
389,LBR,Liberia,2021,48.64671695
390,LBR,Liberia,2020,47.12115385
391,LBR,Liberia,2019,48.2
392,LBR,Liberia,2018,48.3
393,LBY,Libya,2021,0
394,LBY,Libya,2020,0
395,LBY,Libya,2019,0
396,LBY,Libya,2018,0
397,LIE,Liechtenstein,2021,0
398,LIE,Liechtenstein,2020,74.95026319
399,LIE,Liechtenstein,2019,75.1
400,LIE,Liechtenstein,2018,72.9
401,LTU,Lithuania,2021,76.70076807
402,LTU,Lithuania,2020,52.2014966
403,LTU,Lithuania,2019,51.4
404,LTU,Lithuania,2018,50
405,LUX,Luxembourg,2021,74.20929686
406,LUX,Luxembourg,2020,71.7587395
407,LUX,Luxembourg,2019,69.6
408,LUX,Luxembourg,2018,70
409,MDG,Madagascar,2021,49.00565252
410,MDG,Madagascar,2020,57.72159169
411,MDG,Madagascar,2019,53.3
412,MDG,Madagascar,2018,51.6
413,MWI,Malawi,2021,51.37356548
414,MWI,Malawi,2020,65.93334613
415,MWI,Malawi,2019,63.9
416,MWI,Malawi,2018,62.8
417,MYS,Malaysia,2021,70.88498249
418,MYS,Malaysia,2020,80.37147205
419,MYS,Malaysia,2019,80.4
420,MYS,Malaysia,2018,79.5
421,MDV,Maldives,2021,69.27173846
422,MDV,Maldives,2020,63.7734423
423,MDV,Maldives,2019,63.6
424,MDV,Maldives,2018,64.5
425,MLI,Mali,2021,52.1614793
426,MLI,Mali,2020,0
427,MLI,Mali,2019,0
428,MLI,Mali,2018,0
429,MLT,Malta,2021,75.7451382
430,MLT,Malta,2020,63.98315122
431,MLT,Malta,2019,64.7
432,MLT,Malta,2018,63.9
433,MHL,Marshall Islands,2021,0
434,MHL,Marshall Islands,2020,0
435,MHL,Marshall Islands,2019,0
436,MHL,Marshall Islands,2018,0
437,MRT,Mauritania,2021,55.50520933
438,MRT,Mauritania,2020,61.6339972
439,MRT,Mauritania,2019,59.9
440,MRT,Mauritania,2018,58.9
441,MUS,Mauritius,2021,66.7114236
442,MUS,Mauritius,2020,0
443,MUS,Mauritius,2019,0
444,MUS,Mauritius,2018,0
445,MEX,Mexico,2021,69.13078356
446,MEX,Mexico,2020,70.43634631
447,MEX,Mexico,2019,68.5
448,MEX,Mexico,2018,65.2
449,FSM,Micronesia. Fed. Sts.,2021,0
450,FSM,Micronesia. Fed. Sts.,2020,83.7727595
451,FSM,Micronesia. Fed. Sts.,2019,82.8
452,FSM,Micronesia. Fed. Sts.,2018,69
453,MDA,Moldova,2021,73.67617702
454,MDA,Moldova,2020,0
455,MDA,Moldova,2019,0
456,MDA,Moldova,2018,0
457,MCO,Monaco,2021,0
458,MCO,Monaco,2020,75.96636461
459,MCO,Monaco,2019,76.1
460,MCO,Monaco,2018,74.2
461,MNG,Mongolia,2021,63.78615231
462,MNG,Mongolia,2020,54.12580247
463,MNG,Mongolia,2019,53
464,MNG,Mongolia,2018,50.7
465,MNE,Montenegro,2021,68.20629589
466,MNE,Montenegro,2020,71.29460093
467,MNE,Montenegro,2019,69.1
468,MNE,Montenegro,2018,66.3
469,MAR,Morocco,2021,70.5271496
470,MAR,Morocco,2020,51.38535304
471,MAR,Morocco,2019,50.2
472,MAR,Morocco,2018,49.7
473,MOZ,Mozambique,2021,51.05461998
474,MOZ,Mozambique,2020,64.57962157
475,MOZ,Mozambique,2019,62.2
476,MOZ,Mozambique,2018,59
477,MMR,Myanmar,2021,64.94721566
478,MMR,Myanmar,2020,70.18786265
479,MMR,Myanmar,2019,67.3
480,MMR,Myanmar,2018,67.6
481,NAM,Namibia,2021,61.77102089
482,NAM,Namibia,2020,79.20293613
483,NAM,Namibia,2019,79.5
484,NAM,Namibia,2018,77.9
485,NRU,Nauru,2021,0
486,NRU,Nauru,2020,56.16954797
487,NRU,Nauru,2019,55.6
488,NRU,Nauru,2018,0
489,NPL,Nepal,2021,66.51849395
490,NPL,Nepal,2020,69.66843565
491,NPL,Nepal,2019,67.9
492,NPL,Nepal,2018,54.9
493,NLD,Netherlands,2021,81.55816078
494,NLD,Netherlands,2020,71.39916038
495,NLD,Netherlands,2019,69.4
496,NLD,Netherlands,2018,81.2
497,NZL,New Zealand,2021,79.13081565
498,NZL,New Zealand,2020,0
499,NZL,New Zealand,2019,0
500,NZL,New Zealand,2018,64.9
501,NIC,Nicaragua,2021,66.28894454
502,NIC,Nicaragua,2020,49.2797381
503,NIC,Nicaragua,2019,46.4
504,NIC,Nicaragua,2018,47.5
505,NER,Niger,2021,49.52910945
506,NER,Niger,2020,68.65570308
507,NER,Niger,2019,67.9
508,NER,Niger,2018,66.4
509,NGA,Nigeria,2021,48.92563761
510,NGA,Nigeria,2020,50.14931294
511,NGA,Nigeria,2019,49.4
512,NGA,Nigeria,2018,48.5
513,MKD,North Macedonia,2021,72.53065981
514,MKD,North Macedonia,2020,74.44386724
515,MKD,North Macedonia,2019,74.4
516,MKD,North Macedonia,2018,74.5
517,NOR,Norway,2021,81.97912281
518,NOR,Norway,2020,80.75791944
519,NOR,Norway,2019,80.7
520,NOR,Norway,2018,63.9
521,OMN,Oman,2021,70.1346265
522,OMN,Oman,2020,69.19003623
523,OMN,Oman,2019,66.3
524,OMN,Oman,2018,0
525,PAK,Pakistan,2021,57.7232619
526,PAK,Pakistan,2020,51.6613736
527,PAK,Pakistan,2019,51.6
528,PAK,Pakistan,2018,67.2
529,PLW,Palau,2021,0
530,PLW,Palau,2020,78.09870441
531,PLW,Palau,2019,75.9
532,PLW,Palau,2018,74
533,PAN,Panama,2021,67.98229589
534,PAN,Panama,2020,67.70740855
535,PAN,Panama,2019,67.5
536,PAN,Panama,2018,68.4
537,PNG,Papua New Guinea,2021,51.33118431
538,PNG,Papua New Guinea,2020,77.64856583
539,PNG,Papua New Guinea,2019,76.4
540,PNG,Papua New Guinea,2018,60.8
541,PRY,Paraguay,2021,66.94207675
542,PRY,Paraguay,2020,56.5580614
543,PRY,Paraguay,2019,56
544,PRY,Paraguay,2018,0
545,PER,Peru,2021,71.08886282
546,PER,Peru,2020,71.7545648
547,PER,Peru,2019,71.2
548,PER,Peru,2018,65
549,PHL,Philippines,2021,64.50699664
550,PHL,Philippines,2020,65.49550504
551,PHL,Philippines,2019,64.9
552,PHL,Philippines,2018,73.7
553,POL,Poland,2021,80.2241293
554,POL,Poland,2020,64.65117279
555,POL,Poland,2019,66.3
556,POL,Poland,2018,71.2
557,PRT,Portugal,2021,78.64287858
558,PRT,Portugal,2020,71.92445354
559,PRT,Portugal,2019,70.9
560,PRT,Portugal,2018,56.1
561,QAT,Qatar,2021,66.73209684
562,QAT,Qatar,2020,0
563,QAT,Qatar,2019,0
564,QAT,Qatar,2018,0
565,ROU,Romania,2021,74.97446013
566,ROU,Romania,2020,0
567,ROU,Romania,2019,0
568,ROU,Romania,2018,0
569,RUS,Russian Federation,2021,73.75119178
570,RUS,Russian Federation,2020,62.57498189
571,RUS,Russian Federation,2019,65.5
572,RUS,Russian Federation,2018,62.9
573,RWA,Rwanda,2021,57.5769909
574,RWA,Rwanda,2020,65.84678605
575,RWA,Rwanda,2019,64.8
576,RWA,Rwanda,2018,57.2
577,WSM,Samoa,2021,0
578,WSM,Samoa,2020,61.68403325
579,WSM,Samoa,2019,63.1
580,WSM,Samoa,2018,64
581,SMR,San Marino,2021,0
582,SMR,San Marino,2020,0
583,SMR,San Marino,2019,0
584,SMR,San Marino,2018,0
585,STP,Sao Tome and Principe,2021,58.79136989
586,STP,Sao Tome and Principe,2020,78.11066031
587,STP,Sao Tome and Principe,2019,77.8
588,STP,Sao Tome and Principe,2018,64.6
589,SAU,Saudi Arabia,2021,66.30345485
590,SAU,Saudi Arabia,2020,58.26712152
591,SAU,Saudi Arabia,2019,57.3
592,SAU,Saudi Arabia,2018,72.1
593,SEN,Senegal,2021,58.43460056
594,SEN,Senegal,2020,0
595,SEN,Senegal,2019,0
596,SEN,Senegal,2018,49.1
597,SRB,Serbia,2021,75.59157583
598,SRB,Serbia,2020,63.40942969
599,SRB,Serbia,2019,61.5
600,SRB,Serbia,2018,0
601,SYC,Seychelles,2021,0
602,SYC,Seychelles,2020,68.35894932
603,SYC,Seychelles,2019,67
604,SYC,Seychelles,2018,50.7
605,SLE,Sierra Leone,2021,51.69196373
606,SLE,Sierra Leone,2020,77.51056483
607,SLE,Sierra Leone,2019,76.2
608,SLE,Sierra Leone,2018,80
609,SGP,Singapore,2021,69.88870078
610,SGP,Singapore,2020,51.90816366
611,SGP,Singapore,2019,49.2
612,SGP,Singapore,2018,71.3
613,SVK,Slovak Republic,2021,79.5716324
614,SVK,Slovak Republic,2020,0
615,SVK,Slovak Republic,2019,0
616,SVK,Slovak Republic,2018,0
617,SVN,Slovenia,2021,81.60096701
618,SVN,Slovenia,2020,0
619,SVN,Slovenia,2019,0
620,SVN,Slovenia,2018,0
621,SLB,Solomon Islands,2021,0
622,SLB,Solomon Islands,2020,67.00013599
623,SLB,Solomon Islands,2019,69.6
624,SLB,Solomon Islands,2018,75.6
625,SOM,Somalia,2021,45.61094367
626,SOM,Somalia,2020,46.20727044
627,SOM,Somalia,2019,0
628,SOM,Somalia,2018,60.8
629,ZAF,South Africa,2021,63.74167619
630,ZAF,South Africa,2020,52.32540738
631,ZAF,South Africa,2019,53.7
632,ZAF,South Africa,2018,45.7
633,SSD,South Sudan,2021,38.90029587
634,SSD,South Sudan,2020,43.65692022
635,SSD,South Sudan,2019,0
636,SSD,South Sudan,2018,75.4
637,ESP,Spain,2021,79.46162443
638,ESP,Spain,2020,0
639,ESP,Spain,2019,0
640,ESP,Spain,2018,0
641,LKA,Sri Lanka,2021,68.10004587
642,LKA,Sri Lanka,2020,74.30922608
643,LKA,Sri Lanka,2019,74.8
644,LKA,Sri Lanka,2018,76.1
645,KNA,St. Kitts and Nevis,2021,0
646,KNA,St. Kitts and Nevis,2020,73.01092219
647,KNA,St. Kitts and Nevis,2019,71.6
648,KNA,St. Kitts and Nevis,2018,70.3
649,LCA,St. Lucia,2021,0
650,LCA,St. Lucia,2020,0
651,LCA,St. Lucia,2019,0
652,LCA,St. Lucia,2018,0
653,VCT,St. Vincent and the Grenadines,2021,0
654,VCT,St. Vincent and the Grenadines,2020,76.42850076
655,VCT,St. Vincent and the Grenadines,2019,74.5
656,VCT,St. Vincent and the Grenadines,2018,73
657,SDN,Sudan,2021,49.48434664
658,SDN,Sudan,2020,75.23480506
659,SDN,Sudan,2019,72.5
660,SDN,Sudan,2018,0
661,SUR,Suriname,2021,66.97931888
662,SUR,Suriname,2020,66.87636312
663,SUR,Suriname,2019,65.8
664,SUR,Suriname,2018,0
665,SWE,Sweden,2021,85.61360245
666,SWE,Sweden,2020,0
667,SWE,Sweden,2019,0
668,SWE,Sweden,2018,49.6
669,CHE,Switzerland,2021,80.09503836
670,CHE,Switzerland,2020,56.53505864
671,CHE,Switzerland,2019,56
672,CHE,Switzerland,2018,55.8
673,SYR,Syrian Arab Republic,2021,58.00939818
674,SYR,Syrian Arab Republic,2020,84.72406267
675,SYR,Syrian Arab Republic,2019,85
676,SYR,Syrian Arab Republic,2018,85
677,TJK,Tajikistan,2021,69.75669558
678,TJK,Tajikistan,2020,56.64084402
679,TJK,Tajikistan,2019,55.8
680,TJK,Tajikistan,2018,55.1
681,TZA,Tanzania,2021,56.43216239
682,TZA,Tanzania,2020,63.0255443
683,TZA,Tanzania,2019,64.3
684,TZA,Tanzania,2018,59.5
685,THA,Thailand,2021,74.18917941
686,THA,Thailand,2020,69.43167401
687,THA,Thailand,2019,69.2
688,THA,Thailand,2018,67.2
689,TLS,Timor-Leste,2021,0
690,TLS,Timor-Leste,2020,0
691,TLS,Timor-Leste,2019,0
692,TLS,Timor-Leste,2018,0
693,TGO,Togo,2021,53.22793182
694,TGO,Togo,2020,59.33453796
695,TGO,Togo,2019,58.1
696,TGO,Togo,2018,55
697,TON,Tonga,2021,0
698,TON,Tonga,2020,52.6961757
699,TON,Tonga,2019,51.6
700,TON,Tonga,2018,52
701,TTO,Trinidad and Tobago,2021,63.49714581
702,TTO,Trinidad and Tobago,2020,0
703,TTO,Trinidad and Tobago,2019,0
704,TTO,Trinidad and Tobago,2018,0
705,TUN,Tunisia,2021,71.44352647
706,TUN,Tunisia,2020,65.76397006
707,TUN,Tunisia,2019,67.6
708,TUN,Tunisia,2018,67.5
709,TUR,Turkey,2021,70.38015163
710,TUR,Turkey,2020,71.37200588
711,TUR,Turkey,2019,70
712,TUR,Turkey,2018,66.2
713,TKM,Turkmenistan,2021,61.13827037
714,TKM,Turkmenistan,2020,74.53629048
