CountryCode,Country,SDGIndexScore,2021 SDG Index Rank,Percentage missing values,Spillover Score (0-100),Regional Score (0-100),Regions used for the SDR, Population in 2020 ,2021,2020,2019,2018,
BGD,Bangladesh,63.5,109,#REF!,99.3,65.7,East & South Asia,164689383 ,63.5,78.76,77.4,76.0,
TTO,Trinidad and Tobago,63.5,108,0.00,88.1,68.6,LAC,1399491 ,63.5,,,,
ZAF,South Africa,63.7,107,0.00,88.6,51.9,Africa,59308690 ,63.7,52.33,53.7,45.7,
MNG,Mongolia,63.8,106,#REF!,94.9,65.7,East & South Asia,3278292 ,63.8,54.13,53.0,50.7,
IRQ,Iraq,63.8,105,#REF!,98.3,67.1,MENA,40222503 ,63.8,79.38,78.2,77.5,
BLZ,Belize,64.4,104,#REF!,93.5,68.6,LAC,397621 ,64.4,73.48,69.4,67.3,
PHL,Philippines,64.5,103,#REF!,97.9,65.7,East & South Asia,109581085 ,64.5,65.50,64.9,73.7,
KHM,Cambodia,64.5,102,#REF!,98.8,65.7,East & South Asia,16718971 ,64.5,78.34,78.3,77.4,
MMR,Myanmar,64.9,101,#REF!,100.0,65.7,East & South Asia,54409794 ,64.9,70.19,67.3,67.6,
BHR,Bahrain,66.1,100,#REF!,83.9,67.1,MENA,1701583 ,66.1,65.08,62.5,62.3,
NIC,Nicaragua,66.3,99,#REF!,98.1,68.6,LAC,6624554 ,66.3,49.28,46.4,47.5,
SAU,Saudi Arabia,66.3,98,#REF!,71.1,67.1,MENA,34813867 ,66.3,58.27,57.3,72.1,
IDN,Indonesia,66.3,97,#REF!,96.9,65.7,East & South Asia,273523621 ,66.3,61.92,61.1,59.1,
NPL,Nepal,66.5,96,#REF!,99.2,65.7,East & South Asia,29136808 ,66.5,69.67,67.9,54.9,
MUS,Mauritius,66.7,95,#REF!,48.4,51.9,Africa,1271767 ,66.7,,,,
QAT,Qatar,66.7,94,#REF!,73.0,67.1,MENA,2881060 ,66.7,,,,
LBN,Lebanon,66.8,93,#REF!,81.2,67.1,MENA,6825442 ,66.8,54.00,50.9,51.5,
PRY,Paraguay,66.9,92,#REF!,93.7,68.6,LAC,7132530 ,66.9,56.56,56.0,,
SUR,Suriname,67.0,91,0.00,90.6,68.6,LAC,586634 ,67.0,66.88,65.8,,
BOL,Bolivia,67.6,90,#REF!,97.9,68.6,LAC,11673029 ,67.6,61.45,59.8,58.5,
SLV,El Salvador,67.9,89,#REF!,90.8,68.6,LAC,6486201 ,67.9,79.80,79.4,,
PAN,Panama,68.0,88,#REF!,76.3,68.6,LAC,4314768 ,68.0,67.71,67.5,68.4,
LKA,Sri Lanka,68.1,87,#REF!,96.4,65.7,East & South Asia,21413250 ,68.1,74.31,74.8,76.1,
CPV,Cabo Verde,68.1,86,#REF!,95.4,51.9,Africa,555988 ,68.1,55.25,54.2,52.4,
MNE,Montenegro,68.2,85,#REF!,69.3,71.4,E. Europe & C. Asia,628062 ,68.2,71.29,69.1,66.3,
BRN,Brunei Darussalam,68.3,84,#REF!,70.9,65.7,East & South Asia,437483 ,68.3,74.77,74.5,73.1,
BRB,Barbados,68.4,83,#REF!,78.8,68.6,LAC,287371 ,68.4,68.15,,,
EGY,Egypt. Arab Rep.,68.6,82,#REF!,98.7,67.1,MENA,102334403 ,68.6,68.79,66.2,63.5,
JAM,Jamaica,69.0,81,#REF!,93.6,68.6,LAC,2961161 ,69.0,79.17,78.9,78.5,
MEX,Mexico,69.1,80,#REF!,95.5,77.2,OECD,128932753 ,69.1,70.44,68.5,65.2,
MDV,Maldives,69.3,79,#REF!,88.3,65.7,East & South Asia,540542 ,69.3,63.77,63.6,64.5,
TJK,Tajikistan,69.8,78,0.00,97.5,71.4,E. Europe & C. Asia,9537642 ,69.8,56.64,55.8,55.1,
UZB,Uzbekistan,69.8,77,0.00,98.1,71.4,E. Europe & C. Asia,33469199 ,69.8,79.79,79.4,78.7,
SGP,Singapore,69.9,76,#REF!,20.6,65.7,East & South Asia,5850343 ,69.9,51.91,49.2,71.3,
BTN,Bhutan,70.0,75,#REF!,93.9,65.7,East & South Asia,771612 ,70.0,55.22,52.4,50.9,
IRN,Iran. Islamic Rep.,70.0,74,#REF!,95.9,67.1,MENA,83992953 ,70.0,63.14,60.8,53.7,
OMN,Oman,70.1,73,#REF!,81.9,67.1,MENA,5106622 ,70.1,69.19,66.3,,
JOR,Jordan,70.1,72,#REF!,90.4,67.1,MENA,10203140 ,70.1,68.05,68.1,64.4,
ARE,United Arab Emirates,70.2,71,#REF!,38.8,67.1,MENA,9890400 ,70.2,52.59,51.3,49.6,
TUR,Turkey,70.4,70,0.00,93.7,77.2,OECD,84339067 ,70.4,71.37,70.0,66.2,
MAR,Morocco,70.5,69,#REF!,98.3,67.1,MENA,36910558 ,70.5,51.39,50.2,49.7,
COL,Colombia,70.6,68,#REF!,95.2,77.2,OECD,50882884 ,70.6,53.07,53.0,,
DOM,Dominican Republic,70.8,67,#REF!,95.6,68.6,LAC,10847904 ,70.8,,,,
DZA,Algeria,70.9,66,#REF!,97.5,67.1,MENA,43851043 ,70.9,70.17,69.8,66.4,
MYS,Malaysia,70.9,65,#REF!,77.8,65.7,East & South Asia,32365998 ,70.9,80.37,80.4,79.5,
ALB,Albania,71.0,64,#REF!,94.3,71.4,E. Europe & C. Asia,2877800 ,71.0,72.27,71.1,67.9,
PER,Peru,71.1,63,#REF!,96.9,68.6,LAC,32971846 ,71.1,71.75,71.2,65.0,
FJI,Fiji,71.2,62,#REF!,93.2,50.1,Oceania,896444 ,71.2,55.23,53.2,,
BRA,Brazil,71.3,61,#REF!,97.6,68.6,LAC,212559409 ,71.3,72.67,70.6,69.7,
TUN,Tunisia,71.4,60,0.00,94.2,67.1,MENA,11818618 ,71.4,65.76,67.6,67.5,
KAZ,Kazakhstan,71.6,59,#REF!,94.6,71.4,E. Europe & C. Asia,18776707 ,71.6,60.17,57.0,56.8,
ARM,Armenia,71.8,58,#REF!,96.7,71.4,E. Europe & C. Asia,2963234 ,71.8,73.17,72.4,70.3,
CHN,China,72.1,57,#REF!,94.6,65.7,East & South Asia,1439323774 ,72.1,38.54,39.1,37.7,
GEO,Georgia,72.2,56,#REF!,90.7,71.4,E. Europe & C. Asia,3989175 ,72.2,57.86,55.0,51.6,
AZE,Azerbaijan,72.4,55,#REF!,97.6,71.4,E. Europe & C. Asia,10139175 ,72.4,72.61,70.5,70.8,
MKD,North Macedonia,72.5,54,#REF!,93.9,71.4,E. Europe & C. Asia,2083380 ,72.5,74.44,74.4,74.5,
